side,source_group,relative_path,model_name,dataset_scope,feature_set,metric_auc,train_valid_gap_or_overfit_metric,auc_columns_available,gap_columns_available,columns_available
park,park_score_source,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,overall_with_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,overall_without_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,promotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,CatBoost,nonpromotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,LightGBM,overall_with_promotion,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,overall_without_promotion,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,promotion_only,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,nonpromotion_only,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,overall_with_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,overall_without_promotion,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,LightGBM,promotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,CatBoost,nonpromotion_only,expanded_no_payment_device,,,,,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,LightGBM,overall_with_promotion,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,overall_without_promotion,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,promotion_only,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
park,park_score_source,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,diagnostic_multiple_models,nonpromotion_only,expanded_no_payment_device,,,,,selected_score_source_step; source_file; feature_set_variant; dataset_scope; model_name; row_count; score_column; risk_column; positive_class; payment_removed; selection_reason; fallback_used; status; caution
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo1,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo1,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo1,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo1,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo1,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo0,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo0,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo0,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo0,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,,promo0,,,,,,promo_scope; segment_family; segment_role; row_count; row_share; actual_churn_rate; actual_repurchase_rate; mean_gb_churn_risk; representative_behavior; business_action_type; demographic_personalization_summary; comparison_to_promo0_or_promo1; key_caveat; display_priority
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,,promo0,,,,,,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,,promo1,,,,,,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,,promo0,,,,,,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,,promo1,,,,,,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
PUBLIC,PUBLIC_score_source,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_readiness_for_shap_segmentation.csv,,,,,,,,decision_item; status; evidence; user_approval_required; notes
