finding_area,descriptive_finding,strength_of_evidence,safe_claim,forbidden_claim,next_check_needed
2x2 cohort sizes,"Rows split into nonpromotion_repurchase=8520, nonpromotion_nonrepurchase=2655, promotion_repurchase=8037, promotion_nonrepurchase=3867.",structural,The 2x2 row-level structure is defined.,These are unique users.,Keep row-level language.
repurchase rate gap,Observed promotion repurchase rate is 0.675151; nonpromotion repurchase rate is 0.762416.,structural,A descriptive repurchase-rate gap is observed.,Promotion caused the gap.,Use modeling or causal design only in later steps if approved.
promotion internal target signals,"Within promotion rows, watch_time(min)_w3 has a descriptive target-separation bucket of large.",moderate,"Within promotion rows, watch_time(min)_w3 has a descriptive target-separation bucket of large.",This is statistically significant.,Inspect distributions in step 10.
nonpromotion internal target signals,"Within nonpromotion rows, watch_session_w3 has a descriptive target-separation bucket of large.",moderate,"Within nonpromotion rows, watch_session_w3 has a descriptive target-separation bucket of large.",This is statistically significant.,Inspect distributions in step 10.
common signals,Common-signal feature count: 5.,weak,Some target-separating signals may be similar across promotion splits.,Signals prove universal behavior law.,Validate in modeling only after feature EDA.
different signals,"Promotion-stronger count: 1, nonpromotion-stronger count: 11.",weak,Signal strength can differ descriptively by split.,Promotion changes the signal causally.,Check stability and distributions.
week3 signal check,Week-stage grouping was summarized using descriptive SMDs.,weak,Week3 can be treated as a candidate timing focus if SMDs are larger.,Promotion customers have a proven week3 problem.,Inspect feature distributions more deeply.
AARRR interpretation,AARRR stage interpretation was limited to conservative features.,structural,Activation and retention are the main interpretable conservative stages.,Referral was analyzed.,Referral remains unobserved.
review columns excluded,Review columns were excluded from standard conservative feature comparisons.,structural,Review columns remain outside standard 09 EDA.,Review columns are approved modeling features.,Resolve in future policy if needed.
causal limits,"No causal inference, p-values, or statistical significance tests were used.",structural,09 is descriptive EDA only.,09 found the cause of churn.,Carry wording guardrails forward.
next step,Next recommended step is 10_feature_eda_260513.,structural,Use 09 as input to deeper feature EDA.,Proceed directly to causal claims.,Run feature distribution EDA.
