group_context,rank,feature_name,AARRR_stage_primary,feature_family,SMD,abs_SMD,bucket,direction,safe_interpretation,caution
promotion_only,1,watch_time(min)_w3,retention,usage_observation,0.6913420634313308,0.6913420634313308,large,repurchase rows have higher watch_time(min)_w3 mean than nonrepurchase rows,promotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
promotion_only,2,watch_session_w3,retention,usage_observation,0.6626744684571563,0.6626744684571563,large,repurchase rows have higher watch_session_w3 mean than nonrepurchase rows,promotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
promotion_only,3,is_only_w1,activation,usage_observation,-0.5487347215544293,0.5487347215544293,large,repurchase rows have lower is_only_w1 mean than nonrepurchase rows,promotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
promotion_only,4,is_w1_over_50pct,activation,usage_observation,-0.5091198494649657,0.5091198494649657,large,repurchase rows have lower is_w1_over_50pct mean than nonrepurchase rows,promotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
promotion_only,5,avg_gap_w3_watch_days,retention,usage_observation,0.4756795703580846,0.4756795703580846,moderate,repurchase rows have higher avg_gap_w3_watch_days mean than nonrepurchase rows,promotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_only,1,watch_session_w3,retention,usage_observation,0.7500986291124194,0.7500986291124194,large,repurchase rows have higher watch_session_w3 mean than nonrepurchase rows,nonpromotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_only,2,watch_time(min)_w3,retention,usage_observation,0.7434059086896082,0.7434059086896082,large,repurchase rows have higher watch_time(min)_w3 mean than nonrepurchase rows,nonpromotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_only,3,is_only_w1,activation,usage_observation,-0.6688643867741991,0.6688643867741991,large,repurchase rows have lower is_only_w1 mean than nonrepurchase rows,nonpromotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_only,4,is_w1_over_50pct,activation,usage_observation,-0.6529073920253156,0.6529073920253156,large,repurchase rows have lower is_w1_over_50pct mean than nonrepurchase rows,nonpromotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_only,5,avg_gap_w3_watch_days,retention,usage_observation,0.5432113520993123,0.5432113520993123,large,repurchase rows have higher avg_gap_w3_watch_days mean than nonrepurchase rows,nonpromotion_only: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
common_across_both,1,diff_between_w3_w1,retention,retention_change,0.43280640300842604,0.43280640300842604,moderate,repurchase rows have higher diff_between_w3_w1 mean than nonrepurchase rows,common_across_both: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
common_across_both,2,retention_w3_ratio,retention,retention_ratio,0.3579795070777067,0.3579795070777067,moderate,repurchase rows have higher retention_w3_ratio mean than nonrepurchase rows,common_across_both: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
common_across_both,3,diff_between_w2_w1,retention,retention_change,0.28536081099433275,0.28536081099433275,moderate,repurchase rows have higher diff_between_w2_w1 mean than nonrepurchase rows,common_across_both: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
common_across_both,4,diff_between_w3_w2,retention,retention_change,0.18831283022752407,0.18831283022752407,small,repurchase rows have higher diff_between_w3_w2 mean than nonrepurchase rows,common_across_both: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
common_across_both,5,is_w2_over_50pct,retention,usage_observation,0.15258412885961023,0.15258412885961023,small,repurchase rows have higher is_w2_over_50pct mean than nonrepurchase rows,common_across_both: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
promotion_stronger,1,is_cold_start_3d,activation,activation_onboarding,0.10724575857511606,0.10724575857511606,small,repurchase rows have higher is_cold_start_3d mean than nonrepurchase rows,promotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_stronger,1,watch_session_w3,retention,usage_observation,0.7500986291124194,0.7500986291124194,large,repurchase rows have higher watch_session_w3 mean than nonrepurchase rows,nonpromotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_stronger,2,watch_time(min)_w3,retention,usage_observation,0.7434059086896082,0.7434059086896082,large,repurchase rows have higher watch_time(min)_w3 mean than nonrepurchase rows,nonpromotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_stronger,3,is_only_w1,activation,usage_observation,-0.6688643867741991,0.6688643867741991,large,repurchase rows have lower is_only_w1 mean than nonrepurchase rows,nonpromotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_stronger,4,is_w1_over_50pct,activation,usage_observation,-0.6529073920253156,0.6529073920253156,large,repurchase rows have lower is_w1_over_50pct mean than nonrepurchase rows,nonpromotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
nonpromotion_stronger,5,avg_gap_w3_watch_days,retention,usage_observation,0.5432113520993123,0.5432113520993123,large,repurchase rows have higher avg_gap_w3_watch_days mean than nonrepurchase rows,nonpromotion_stronger: descriptive target-separation signal only.,"No statistical significance, causality, or prediction is claimed."
