promo_scope,representative_segment_id,provisional_label,primary_behavior_problem,recommended_action_type,recommended_message_direction,recommended_content_strategy,recommended_timing,demographic_personalization_needed,evidence_summary,caveat,final_status
promo0,promo0_s01,promo0_high_risk_week3_inactive,week3 inactivity,week3_save_campaign,renewal-adjacent save or reactivation reminder,content context can be used only as broad personalization cue,week3 or renewal-proximity touchpoint,yes_after_EDA_evidence,"n=1736, mean_gb_churn=0.6624, content_marker_rate=0.9948",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo0,promo0_s02,promo0_high_risk_retention_decay,retention decay,week2_retention_nudge,retention decay recovery nudge,content context can be used only as broad personalization cue,week2-week3 retention nudge,yes_after_EDA_evidence,"n=154, mean_gb_churn=0.5552, content_marker_rate=0.9740",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,only w1 or weak early activation,onboarding_reactivation,onboarding reactivation prompt,content context can be used only as broad personalization cue,early onboarding touchpoint,yes_after_EDA_evidence,"n=230, mean_gb_churn=0.6343, content_marker_rate=1.0000",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo0,promo0_s04,promo0_high_risk_low_activity,broad low activity,onboarding_reactivation,lightweight activity prompt,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=43, mean_gb_churn=0.5998, content_marker_rate=1.0000",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate_with_broad_flag_caveat
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,clear genre preference in high-risk group,genre_based_recommendation,genre-aware recommendation test,genre-based recommendation candidate with stronger evidence,requires campaign design review,yes_after_EDA_evidence,"n=5, mean_gb_churn=0.5638, content_marker_rate=1.0000",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo0,promo0_s06,promo0_stable_usage_lower_risk,lower-risk behavior pattern,stable_user_upsell_or_conversion,benefit reminder or conversion candidate,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=2031, mean_gb_churn=0.0800, content_marker_rate=0.9276",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo0,promo0_s99,promo0_other_needs_review,large unclassified group,needs_review,needs further review,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=6994, mean_gb_churn=0.1541, content_marker_rate=0.9793",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,needs_additional_validation
promo1,promo1_s01,promo1_high_risk_week3_inactive,week3 inactivity,week3_save_campaign,renewal-adjacent save or reactivation reminder,content context can be used only as broad personalization cue,week3 or renewal-proximity touchpoint,yes_after_EDA_evidence,"n=1700, mean_gb_churn=0.7455, content_marker_rate=0.9976",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo1,promo1_s02,promo1_high_risk_retention_decay,retention decay,week2_retention_nudge,retention decay recovery nudge,content context can be used only as broad personalization cue,week2-week3 retention nudge,yes_after_EDA_evidence,"n=193, mean_gb_churn=0.6899, content_marker_rate=0.9689",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,only w1 or weak early activation,onboarding_reactivation,onboarding reactivation prompt,content context can be used only as broad personalization cue,early onboarding touchpoint,yes_after_EDA_evidence,"n=329, mean_gb_churn=0.7326, content_marker_rate=1.0000",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo1,promo1_s04,promo1_high_risk_low_activity,broad low activity,onboarding_reactivation,lightweight activity prompt,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=41, mean_gb_churn=0.7245, content_marker_rate=1.0000",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate_with_broad_flag_caveat
promo1,promo1_s05,promo1_high_risk_genre_preference_clear,clear genre preference in high-risk group,genre_based_recommendation,genre-aware recommendation test,genre-based recommendation candidate with stronger evidence,requires campaign design review,yes_after_EDA_evidence,"n=11, mean_gb_churn=0.6915, content_marker_rate=0.9091",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo1,promo1_s06,promo1_stable_usage_lower_risk,lower-risk behavior pattern,stable_user_upsell_or_conversion,benefit reminder or conversion candidate,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=2086, mean_gb_churn=0.1497, content_marker_rate=0.9099",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,provisional_candidate
promo1,promo1_s99,promo1_other_needs_review,large unclassified group,needs_review,needs further review,content context can be used only as broad personalization cue,requires campaign design review,yes_after_EDA_evidence,"n=7544, mean_gb_churn=0.2476, content_marker_rate=0.9765",Action candidate is not proven campaign effect; content_preference_signal is broad marker if present.,needs_additional_validation
