feature_set_name,original_feature_name,safe_model_feature_name,role,use_as_feature,AARRR_stage,feature_family,timing_family,source_table_or_source,caveat_flag,caveat_reason,downstream_allowed_scope,notes,mapping_basis,mapping_confidence,needs_user_review
conservative_safe_22,avg_gap_w1_watch_days,avg_gap_w1_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,avg_gap_w2_watch_days,avg_gap_w2_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,avg_gap_w3_watch_days,avg_gap_w3_watch_days,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,diff_between_w2_w1,diff_between_w2_w1,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,diff_between_w3_w1,diff_between_w3_w1,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,diff_between_w3_w2,diff_between_w3_w2,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
conservative_safe_22,is_cold_start_3d_fixed,is_cold_start_3d_fixed,feature,True,Activation,onboarding_cold_start_fixed,day0_early_observation,View_History_v2 + User_Mapping_v2 + source master hotfix,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,all_06x_scopes_subject_to_scope_policy,fixed replacement used,explicit user rule + 05y formula validation + 06x hotfix,high,0
conservative_safe_22,is_cold_start_7d_fixed,is_cold_start_7d_fixed,feature,True,Activation,onboarding_cold_start_fixed,day0_early_observation,View_History_v2 + User_Mapping_v2 + source master hotfix,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,all_06x_scopes_subject_to_scope_policy,fixed replacement used,explicit user rule + 05y formula validation + 06x hotfix,high,0
conservative_safe_22,is_only_w1,is_only_w1,feature,True,Activation,early_week1_watch_behavior,week1,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,high,0
conservative_safe_22,is_only_w2,is_only_w2,feature,True,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,False,,all_06x_scopes_subject_to_scope_policy,,06x_model_feature_lists + 06x_schema + name_pattern_review + 05y_dictionary,medium,0
