column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve,patched_primary_role,patched_feature_family,patched_sub_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,patched_allowed_for_baseline_ladder_membership_only,patched_allowed_for_baseline_ladder_activation,patched_allowed_for_baseline_ladder_retention_w2,patched_allowed_for_baseline_ladder_retention_w3,patched_allowed_for_baseline_ladder_content,patched_allowed_for_segment_design_candidate,patched_reason,patched_required_user_confirmation,patched_future_step_to_resolve,patch_changed,patch_change_summary
45,avg_gap_w1_watch_days,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,avg_gap_w1_watch_days,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> avg_gap_w1_watch_days
46,avg_gap_w2_watch_days,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,avg_gap_w2_watch_days,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> avg_gap_w2_watch_days
47,avg_gap_w3_watch_days,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,avg_gap_w3_watch_days,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> avg_gap_w3_watch_days
53,is_cold_start_3d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,activation,activation_onboarding,is_cold_start_3d,early_activation,yes,yes,no,yes,no,no,no,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",no,baseline_ladder_activation,yes,primary_role: content_recency -> activation; feature_family: content -> activation_onboarding; sub_family: release_or_cold_start -> is_cold_start_3d; timing_family: content_window_ambiguous -> early_activation; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
54,is_cold_start_7d,content_recency,content,release_or_cold_start,content-derived window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,activation,activation_onboarding,is_cold_start_7d,week1_observation,yes,yes,no,yes,no,no,no,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",no,baseline_ladder_activation,yes,primary_role: content_recency -> activation; feature_family: content -> activation_onboarding; sub_family: release_or_cold_start -> is_cold_start_7d; timing_family: content_window_ambiguous -> week1_observation; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
58,watch_time(min)_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,watch_time(min)_w1,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> watch_time(min)_w1
59,watch_time(min)_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,watch_time(min)_w2,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> watch_time(min)_w2
60,watch_time(min)_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,watch_time(min)_w3,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> watch_time(min)_w3
61,watch_session_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation,activation,usage_observation,watch_session_w1,week1_observation,yes,yes,no,yes,no,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_activation,yes,sub_family: week1 -> watch_session_w1
62,watch_session_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2,retention,usage_observation,watch_session_w2,week2_observation,yes,yes,no,no,yes,no,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w2,yes,sub_family: week2_or_change -> watch_session_w2
63,watch_session_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3,retention,usage_observation,watch_session_w3,week3_observation,yes,yes,no,no,no,yes,no,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,baseline_ladder_retention_w3,yes,sub_family: week3_or_change -> watch_session_w3
64,retention_w2_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week2_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,retention,retention_ratio,w2_ratio,week1_to_week2_change,yes,yes,no,no,yes,no,no,yes,"retention_w2_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",no,baseline_ladder_retention,yes,primary_role: genre_ratio -> retention; feature_family: content_genre -> retention_ratio; sub_family: genre_or_ratio -> w2_ratio; timing_family: week2_observation -> week1_to_week2_change; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
65,retention_w3_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,week3_observation,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,retention,retention_ratio,w3_ratio,week1_to_week3_change,yes,yes,no,no,no,yes,no,yes,"retention_w3_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",no,baseline_ladder_retention,yes,primary_role: genre_ratio -> retention; feature_family: content_genre -> retention_ratio; sub_family: genre_or_ratio -> w3_ratio; timing_family: week3_observation -> week1_to_week3_change; allowed_for_overall_model_candidate: review -> yes; allowed_for_groupwise_model_candidate: review -> yes
