original_relative_path,artifact_type,detected_reason,action_taken,new_relative_path,requires_user_review,notes
notebooks/06_gb_promo0.ipynb,notebook,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo0.ipynb,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
notebooks/06_gb_promo1.ipynb,notebook,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo1.ipynb,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
notebooks/06_lr_promo0.ipynb,notebook,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo0.ipynb,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
notebooks/06_lr_promo1.ipynb,notebook,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo1.ipynb,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520,directory,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/gb_promo0,directory,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/gb_promo0,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/gb_promo1,directory,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/gb_promo1,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo0,directory,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo0/feature_manifest_used.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/feature_manifest_used.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo0/final_result.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/final_result.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo0/trials_all.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/trials_all.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo1,directory,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo1,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo1/feature_manifest_used.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo1/feature_manifest_used.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo1/final_result.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo1/final_result.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
results/_06_model_rerun_260520/lr_promo1/trials_all.csv,file,06 name with modeling/rerun artifact pattern; canonical 06 is dataset/input preparation only,moved_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo1/trials_all.csv,TRUE,Do not treat as canonical 06. User approval is required before reusing under 11/12/14.
