check_name,status,detail
all_outputs_inside_park_ingyeom,PASS,
notebook_exists,PASS,C:\Code\ott-churn-prediction\park.ingyeom\notebook\18x_business_recommendation_storyline_260518\18x_business_recommendation_storyline_260518.ipynb
notebook_executed,PASS,execution reached final checks cell
17x_inputs_loaded,PASS,
17x_final_checks_pass,PASS,
segment_summary_loaded,PASS,
representative_assignment_row_count_23079,PASS,
storyline_master_created,PASS,
slide_outline_created,PASS,
business_recommendation_matrix_created,PASS,
message_strategy_created,PASS,
presentation_script_created,PASS,
mentor_QA_created,PASS,
safe_unsafe_wording_created,PASS,
onepager_created,PASS,
open_risks_created,PASS,
source_fingerprint_created,PASS,
source_fingerprint_unchanged,PASS,
no_model_training_performed,PASS,18x reads 17x outputs only
no_SHAP_recalculation_performed,PASS,18x reads 17x SHAP evidence link only
no_segmentation_regeneration_performed,PASS,18x uses 17x representative assignment
no_dashboard_generation_performed,PASS,18x creates storyline handoff documents only
no_payment_proxy_used_as_recommendation_basis,PASS,
no_auth_proxy_used_as_recommendation_basis,PASS,
no_demographic_proxy_used_as_recommendation_basis,PASS,
SHAP_wording_marked_as_model_explanation,PASS,
causal_claims_blocked,PASS,
row_level_wording_used,PASS,
README_created,PASS,
note_md_updated,PASS,
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\18x_business_recommendation_storyline_260518_review_package.zip
review_zip_inventory_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_review_zip_inventory.csv
