model_family,promo_scope,demographic_feature,present_in_input,used_as_feature,importance_rank,importance_value,recommended_use,unsafe_use,notes
LogisticRegression,promo0,age_group,True,True,41,0.059724212059312574,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
LogisticRegression,promo0,is_female,True,True,34,0.0906457663354824,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
LogisticRegression,promo0,is_male,True,True,67,0.010318738197026797,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
LogisticRegression,promo1,age_group,True,True,48,0.03444580776584322,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
LogisticRegression,promo1,is_female,True,True,71,0.006969844008161381,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
LogisticRegression,promo1,is_male,True,True,43,0.052372842385296325,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo0,age_group,True,True,20,0.044078404294892334,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo0,is_female,True,True,60,0.0,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo0,is_male,True,True,58,0.0,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo1,age_group,True,True,28,0.022224235025594608,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo1,is_female,True,True,66,0.0,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
GradientBoosting,promo1,is_male,True,True,60,0.0008663832984991406,profile_audit; action_personalization_layer; not_representative_segment_rule,direct_causal_claim; direct_segment_name_without_behavior_evidence; demographic_targeting_without_EDA,Age/gender action variants require EDA evidence before use.
